post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score
28,Facebook,poll,3/1/2023 8:00,2083,500,388,Wednesday,neutral
29,Facebook,image,1/7/2023 10:30,548,153,731,Saturday,negative
30,Facebook,carousel,2/3/2023 0:30,4594,216,739,Friday,positive
31,Facebook,poll,9/10/2023 13:45,4795,449,978,Sunday,negative
32,Instagram,image,7/1/2023 14:45,4665,202,183,Saturday,positive
33,Twitter,video,9/27/2023 19:00,119,147,240,Wednesday,positive
34,Twitter,poll,2/9/2023 15:30,2253,162,28,Thursday,positive
35,Instagram,image,6/6/2023 19:30,1309,201,852,Tuesday,negative
36,Facebook,video,4/8/2023 19:15,5000,500,43,Saturday,positive
37,Facebook,video,5/11/2023 0:30,4245,59,83,Thursday,neutral
38,Twitter,poll,5/2/2023 0:30,2463,187,445,Tuesday,positive
39,Facebook,video,1/1/2023 6:00,5000,430,980,Sunday,neutral
40,Instagram,carousel,8/4/2023 12:45,447,333,845,Friday,negative
41,Twitter,carousel,12/27/2023 11:30,667,176,461,Wednesday,positive
42,Instagram,video,11/23/2023 2:00,4929,252,730,Thursday,negative
43,Twitter,carousel,3/31/2023 16:00,2586,97,85,Friday,positive
44,Instagram,text,7/6/2023 8:00,3259,50,177,Thursday,negative
45,Twitter,video,12/1/2023 10:00,2236,132,118,Friday,positive
46,Instagram,text,5/16/2023 22:15,2251,380,427,Tuesday,positive
47,Facebook,poll,8/8/2023 17:45,4726,44,993,Tuesday,negative
48,Facebook,video,3/22/2023 3:15,5000,232,16,Wednesday,negative
49,Twitter,image,4/17/2023 15:00,725,169,298,Monday,neutral
50,Instagram,text,7/12/2023 0:00,1551,206,127,Wednesday,negative
51,Twitter,text,2/14/2023 18:00,1268,73,251,Tuesday,positive
52,Twitter,image,7/14/2023 15:00,950,113,327,Friday,positive
53,Twitter,video,11/12/2023 17:30,1498,46,96,Sunday,positive
54,Instagram,image,1/21/2023 1:00,4297,360,825,Saturday,negative
55,Twitter,carousel,10/2/2023 23:30,592,34,496,Monday,neutral
56,Instagram,image,3/13/2023 23:15,3401,190,230,Monday,negative
57,Instagram,video,7/13/2023 9:15,4846,134,498,Thursday,neutral
58,Facebook,video,12/27/2023 4:00,2204,116,728,Wednesday,neutral
59,Twitter,video,12/24/2023 7:45,344,99,194,Sunday,neutral
60,Instagram,carousel,5/19/2023 4:30,4763,332,956,Friday,positive
61,Instagram,video,12/31/2023 22:30,3544,167,761,Sunday,negative
62,Facebook,carousel,1/27/2023 15:45,3742,227,849,Friday,negative
63,Twitter,image,5/15/2023 6:30,227,163,127,Monday,neutral
64,Instagram,carousel,4/19/2023 19:45,130,452,724,Wednesday,neutral
65,Instagram,image,9/20/2023 6:00,3982,314,326,Wednesday,positive
66,Facebook,text,1/3/2023 3:00,2265,39,318,Tuesday,positive
67,Facebook,carousel,4/23/2023 8:15,2026,390,165,Sunday,negative
68,Instagram,video,12/28/2023 16:45,560,486,677,Thursday,negative
69,Twitter,image,10/14/2023 18:45,187,89,284,Saturday,neutral
70,Facebook,text,6/12/2023 9:30,3094,86,965,Monday,negative
71,Instagram,video,4/10/2023 0:00,3398,261,630,Monday,neutral
72,Facebook,carousel,5/5/2023 16:45,1690,257,656,Friday,neutral
73,Facebook,text,7/18/2023 22:00,3026,11,761,Tuesday,positive
74,Instagram,video,4/14/2023 10:30,5000,454,744,Friday,positive
75,Facebook,video,7/26/2023 20:15,5000,500,404,Wednesday,positive
76,Instagram,text,7/27/2023 19:15,2153,81,114,Thursday,neutral
77,Twitter,carousel,7/5/2023 18:15,3571,102,96,Wednesday,positive
78,Instagram,poll,1/19/2023 7:15,2990,30,365,Thursday,positive
79,Instagram,carousel,12/13/2023 4:45,4678,189,785,Wednesday,positive
80,Facebook,text,6/25/2023 15:15,553,320,312,Sunday,positive
81,Facebook,video,1/4/2023 18:30,2642,33,413,Wednesday,neutral
82,Instagram,carousel,11/19/2023 12:30,4656,314,757,Sunday,negative
83,Instagram,video,12/6/2023 4:00,5000,173,792,Wednesday,negative
84,Facebook,carousel,10/3/2023 19:00,1203,263,417,Tuesday,negative
85,Facebook,text,7/6/2023 7:00,2566,368,304,Thursday,neutral
86,Twitter,text,11/25/2023 7:30,2416,50,62,Saturday,positive
87,Instagram,text,5/23/2023 22:30,15,70,454,Tuesday,neutral
88,Facebook,text,5/3/2023 12:30,3404,244,67,Wednesday,positive
89,Twitter,carousel,5/3/2023 8:00,2884,197,339,Wednesday,positive
90,Instagram,poll,3/19/2023 4:00,3195,109,243,Sunday,negative
91,Facebook,carousel,9/15/2023 0:45,3956,402,462,Friday,negative
92,Facebook,video,2/23/2023 17:15,1857,216,344,Thursday,positive
93,Instagram,carousel,5/7/2023 0:30,951,432,734,Sunday,negative
94,Facebook,image,11/27/2023 4:30,1694,207,290,Monday,positive
95,Instagram,poll,3/7/2023 19:15,3005,124,517,Tuesday,positive
96,Instagram,carousel,7/12/2023 17:45,36,294,911,Wednesday,positive
97,Twitter,video,10/27/2023 23:45,314,108,458,Friday,neutral
98,Twitter,text,8/5/2023 8:45,229,179,38,Saturday,positive
99,Instagram,poll,12/29/2023 12:15,5000,500,204,Friday,positive
100,Instagram,image,6/6/2023 21:00,4483,357,25,Tuesday,neutral
